,Unnamed: 0,id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event
84359,84359,84360,2009,O,Brisbane,90.0,AUS,$,484750.0,atp250,Hard,73.68421052631578,32.25806451612903,47.82608695652174,58.82352941176471,4.0,20.346,Two-Handed Backhand,30.76923076923077,50.0,LAT,2.0,62.29508196721312,Right-Handed,Ernests Gulbis,40.0,40.0,10.0,46.15384615384615,161.85082469712452,225.80537945005065,10.0,63.934426229508205,0.0,54.761904761904766,85.0,1
84360,84360,84361,2009,O,Brisbane,145.0,AUS,$,484750.0,atp250,Hard,81.42857142857143,24.390243902439025,38.70967741935484,47.16981132075472,13.0,28.629,One-Handed Backhand,42.85714285714285,60.0,FRA,3.0,69.3069306930693,Left-Handed,Michael Llodra,18.75,50.0,16.0,37.234042553191486,133.1671980803366,249.4451795409956,16.0,68.31683168316832,1.0,53.333333333333336,80.0,1
84361,84361,84362,2009,O,Brisbane,143.0,AUS,$,484750.0,atp250,Hard,79.72972972972973,22.641509433962263,40.0,43.39622641509434,12.0,27.618,Two-Handed Backhand,20.0,80.0,AUT,4.0,64.91228070175438,Left-Handed,Jurgen Melzer,12.5,-12.5,16.0,33.0188679245283,98.5377358490566,180.1420104314841,16.0,65.78947368421053,1.0,50.0,80.0,1
84362,84362,84363,2009,O,Brisbane,73.0,AUS,$,484750.0,atp250,Hard,92.85714285714286,32.0,45.0,60.0,9.0,26.978,Two-Handed Backhand,44.44444444444444,66.66666666666666,FRA,2.0,58.333333333333336,Right-Handed,Paul-Henri Mathieu,44.44444444444444,44.44444444444444,9.0,46.0,180.8888888888889,247.63492063492063,9.0,72.91666666666666,0.0,59.18367346938776,74.0,1
84363,84363,84364,2009,O,Brisbane,124.0,AUS,$,484750.0,atp250,Hard,65.625,24.444444444444443,60.0,60.86956521739131,2.0,27.448,Two-Handed Backhand,45.45454545454545,40.0,FIN,2.0,71.91011235955057,Left-Handed,Jarkko Nieminen,35.714285714285715,53.333333333333336,14.0,42.85714285714285,166.48284083066693,250.8684456928839,15.0,64.04494382022472,0.0,53.333333333333336,78.0,1
84364,84364,84365,2009,O,Brisbane,59.0,AUS,$,484750.0,atp250,Hard,82.6086956521739,37.93103448275862,63.63636363636363,66.66666666666666,5.0,19.016,Two-Handed Backhand,50.0,0.0,JPN,4.0,51.11111111111111,Right-Handed,Kei Nishikori,50.0,88.88888888888889,8.0,50.943396226415096,204.5977011494253,287.2450592885376,9.0,73.33333333333333,0.0,61.224489795918366,73.0,1
84365,84365,84366,2009,O,Brisbane,66.0,AUS,$,484750.0,atp250,Hard,82.6086956521739,33.33333333333333,65.0,70.0,6.0,30.104,Two-Handed Backhand,36.36363636363637,,CZE,1.0,53.48837209302325,Right-Handed,Radek Stepanek,50.0,100.0,8.0,48.93617021276596,189.6969696969697,306.09706774519714,8.0,74.4186046511628,0.0,61.11111111111112,76.0,1
84366,84366,84367,2009,O,Brisbane,84.0,AUS,$,484750.0,atp250,Hard,82.97872340425532,24.390243902439025,50.0,57.692307692307686,6.0,27.852,Two-Handed Backhand,20.0,66.66666666666666,FRA,2.0,61.03896103896104,Right-Handed,Florent Serra,20.0,54.54545454545454,10.0,37.3134328358209,122.08255159474672,252.5631389886709,11.0,70.12987012987013,1.0,54.86111111111112,78.0,1
84367,84367,84368,2009,O,Brisbane,55.0,AUS,$,484750.0,atp250,Hard,86.66666666666667,25.925925925925924,59.09090909090909,59.09090909090909,7.0,24.389,Two-Handed Backhand,60.0,,SWE,2.0,57.692307692307686,Right-Handed,Robin Soderling,33.33333333333333,100.0,9.0,40.81632653061224,178.35016835016836,308.4498834498835,9.0,75.0,0.0,58.415841584158414,87.0,1
84368,84368,84369,2009,O,Brisbane,93.0,AUS,$,484750.0,atp250,Hard,73.68421052631578,41.46341463414634,66.66666666666666,51.21951219512195,3.0,23.715,Two-Handed Backhand,36.36363636363637,0.0,FRA,1.0,67.85714285714286,Right-Handed,Jo-Wilfried Tsonga,40.0,90.0,10.0,46.34146341463415,169.04656319290467,300.2080200501253,10.0,71.42857142857143,0.0,56.52173913043478,93.0,1
84369,84369,84370,2009,O,Brisbane,65.0,AUS,$,484750.0,atp250,Hard,79.48717948717949,44.11764705882353,45.45454545454545,59.09090909090909,1.0,25.137,Two-Handed Backhand,30.76923076923077,75.0,ESP,2.0,78.0,Left-Handed,Fernando Verdasco,44.44444444444444,22.22222222222222,9.0,50.0,178.42223136340783,224.1639471639472,9.0,72.0,0.0,60.37735849056604,90.0,1
84370,84370,84371,2009,O,Brisbane,80.0,AUS,$,484750.0,atp250,Hard,82.05128205128204,24.390243902439025,52.38095238095239,65.51724137931035,9.0,22.545,One-Handed Backhand,60.0,80.0,FRA,2.0,65.0,Right-Handed,Richard Gasquet,27.27272727272727,18.181818181818183,11.0,41.42857142857143,177.18021255447664,224.6140526140526,11.0,71.66666666666667,0.0,55.38461538461539,79.0,1
84371,84371,84372,2009,O,Brisbane,81.0,AUS,$,484750.0,atp250,Hard,78.57142857142857,23.52941176470588,69.6969696969697,60.0,6.0,26.978,Two-Handed Backhand,66.66666666666666,100.0,FRA,3.0,45.90163934426229,Right-Handed,Paul-Henri Mathieu,22.22222222222222,20.0,9.0,34.69387755102041,172.41830065359477,217.17003761266056,10.0,73.77049180327869,0.0,56.36363636363636,74.0,1
84372,84372,84373,2009,O,Brisbane,100.0,AUS,$,484750.0,atp250,Hard,76.92307692307693,34.090909090909086,63.63636363636363,42.85714285714285,5.0,19.016,Two-Handed Backhand,50.0,80.0,JPN,1.0,54.16666666666666,Right-Handed,Kei Nishikori,20.0,18.181818181818183,10.0,37.5,146.94805194805195,216.9079254079254,11.0,70.83333333333334,1.0,54.16666666666666,73.0,1
84373,84373,84374,2009,O,Brisbane,93.0,AUS,$,484750.0,atp250,Hard,92.10526315789474,23.25581395348837,54.54545454545454,58.333333333333336,6.0,30.104,Two-Handed Backhand,25.0,100.0,CZE,3.0,53.52112676056338,Right-Handed,Radek Stepanek,10.0,63.63636363636363,10.0,35.82089552238806,116.58914728682171,266.8082081002763,11.0,74.64788732394366,1.0,55.79710144927537,76.0,1
84374,84374,84375,2009,O,Brisbane,71.0,AUS,$,484750.0,atp250,Hard,65.625,28.57142857142857,64.51612903225806,56.00000000000001,4.0,27.852,Two-Handed Backhand,75.0,80.0,FRA,2.0,50.79365079365079,Right-Handed,Florent Serra,33.33333333333333,10.0,9.0,41.50943396226416,192.90476190476195,192.93477982590883,10.0,65.07936507936508,0.0,54.310344827586206,78.0,1
84375,84375,84376,2009,O,Brisbane,66.0,AUS,$,484750.0,atp250,Hard,84.0,44.44444444444444,60.86956521739131,57.89473684210527,6.0,24.389,Two-Handed Backhand,66.66666666666666,75.0,SWE,1.0,52.083333333333336,Right-Handed,Robin Soderling,44.44444444444444,22.22222222222222,9.0,49.09090909090909,213.4502923976608,224.17512077294683,9.0,72.91666666666666,0.0,60.19417475728155,87.0,1
84376,84376,84377,2009,O,Brisbane,135.0,AUS,$,484750.0,atp250,Hard,72.58064516129032,36.231884057971016,45.45454545454545,40.625,9.0,23.715,Two-Handed Backhand,16.666666666666664,20.0,FRA,2.0,65.26315789473685,Right-Handed,Jo-Wilfried Tsonga,6.666666666666667,60.0,15.0,37.62376237623762,100.19021739130436,250.29834851057265,15.0,63.1578947368421,2.0,50.0,93.0,1
84377,84377,84378,2009,O,Brisbane,79.0,AUS,$,484750.0,atp250,Hard,84.61538461538461,39.39393939393939,57.14285714285714,50.0,6.0,25.137,Two-Handed Backhand,60.0,100.0,ESP,1.0,73.58490566037736,Left-Handed,Fernando Verdasco,37.5,-11.11111111111111,8.0,43.63636363636363,186.89393939393932,209.232036307508,9.0,77.35849056603774,0.0,60.18518518518518,90.0,1
84378,84378,84379,2009,O,Brisbane,98.0,AUS,$,484750.0,atp250,Hard,81.08108108108108,22.22222222222222,54.83870967741935,58.06451612903226,3.0,22.545,One-Handed Backhand,50.0,60.0,FRA,3.0,54.41176470588235,Right-Handed,Richard Gasquet,23.07692307692308,33.33333333333333,13.0,36.84210526315789,153.36366142817755,223.6648887977161,12.0,69.11764705882352,0.0,52.083333333333336,79.0,1
84379,84379,84380,2009,O,Brisbane,87.0,AUS,$,484750.0,atp250,Hard,67.44186046511628,38.23529411764706,65.0,46.66666666666666,6.0,26.978,Two-Handed Backhand,60.0,80.0,FRA,3.0,68.25396825396825,Right-Handed,Paul-Henri Mathieu,33.33333333333333,10.0,9.0,42.1875,178.23529411764707,213.6958287190845,10.0,66.66666666666666,0.0,54.330708661417326,74.0,1
84380,84380,84381,2009,O,Brisbane,106.0,AUS,$,484750.0,atp250,Hard,81.57894736842105,30.23255813953488,41.17647058823529,62.85714285714285,6.0,30.104,Two-Handed Backhand,38.46153846153847,28.57142857142857,CZE,4.0,52.77777777777778,Right-Handed,Radek Stepanek,38.46153846153847,35.714285714285715,13.0,44.87179487179488,170.01277791975468,213.24748144871984,14.0,62.5,0.0,53.333333333333336,76.0,1
84381,84381,84382,2009,O,Brisbane,114.0,AUS,$,484750.0,atp250,Hard,74.24242424242425,39.285714285714285,53.84615384615385,55.172413793103445,7.0,25.137,Two-Handed Backhand,44.44444444444444,85.71428571428571,ESP,2.0,83.54430379746836,Left-Handed,Fernando Verdasco,33.33333333333333,0.0,12.0,44.70588235294118,172.23590585659548,216.63288188604645,13.0,70.88607594936708,0.0,57.3170731707317,90.0,1
84382,84382,84383,2009,O,Brisbane,132.0,AUS,$,484750.0,atp250,Hard,64.58333333333334,39.34426229508197,50.0,56.00000000000001,5.0,30.104,Two-Handed Backhand,26.31578947368421,55.55555555555556,CZE,1.0,61.53846153846154,Right-Handed,Radek Stepanek,38.46153846153847,-7.6923076923076925,13.0,46.84684684684685,160.12159023030466,172.42948717948718,13.0,58.97435897435898,0.0,51.85185185185185,76.0,1
84383,84383,84384,2009,O,Brisbane,76.0,AUS,$,484750.0,atp250,Hard,73.68421052631578,40.625,41.66666666666667,75.0,4.0,25.137,Two-Handed Backhand,62.5,75.0,ESP,2.0,76.0,Left-Handed,Fernando Verdasco,71.42857142857143,12.5,7.0,56.66666666666666,249.55357142857144,205.85087719298247,8.0,66.0,0.0,60.909090909090914,90.0,1
84384,84384,84385,2009,O,Brisbane,138.0,AUS,$,484750.0,atp250,Hard,75.60975609756098,36.0,62.5,58.333333333333336,3.0,30.104,Two-Handed Backhand,60.0,75.0,CZE,1.0,50.617283950617285,Right-Handed,Radek Stepanek,21.428571428571427,0.0,14.0,39.08045977011494,175.76190476190476,190.72704004817825,14.0,69.1358024691358,0.0,53.57142857142857,76.0,1
84440,84440,84441,2009,O,Doha,124.0,QAT,$,1110250.0,atp250,Hard,74.57627118644068,36.36363636363637,51.72413793103448,50.0,2.0,26.755,Two-Handed Backhand,30.76923076923077,60.0,SVK,4.0,67.04545454545455,Right-Handed,Karol Beck,28.57142857142857,46.66666666666666,14.0,42.2680412371134,145.7042957042957,238.0125303295964,15.0,67.04545454545455,0.0,54.054054054054056,74.0,1
84441,84441,84442,2009,O,Doha,47.0,QAT,$,1110250.0,atp250,Hard,55.55555555555556,85.0,66.66666666666666,60.0,1.0,21.903,Two-Handed Backhand,85.71428571428571,66.66666666666666,UKR,0.0,63.1578947368421,Right-Handed,Sergei Bubka,85.71428571428571,28.57142857142857,7.0,74.28571428571429,316.42857142857144,214.9515455304929,7.0,59.64912280701754,0.0,65.21739130434783,88.0,1
84442,84442,84443,2009,O,Doha,65.0,QAT,$,1110250.0,atp250,Hard,77.5,36.66666666666666,44.44444444444444,60.71428571428571,6.0,21.758,Two-Handed Backhand,57.14285714285714,83.33333333333334,GER,2.0,68.96551724137932,Right-Handed,Matthias Bachinger,44.44444444444444,-22.22222222222222,9.0,48.27586206896552,198.968253968254,172.68773946360153,9.0,67.24137931034483,0.0,57.75862068965517,86.0,1
84443,84443,84444,2009,O,Doha,120.0,QAT,$,1110250.0,atp250,Hard,70.58823529411765,44.57831325301205,50.0,36.36363636363637,5.0,27.319,Two-Handed Backhand,35.714285714285715,62.5,SUI,0.0,66.66666666666666,Right-Handed,Marco Chiudinelli,31.25,18.75,16.0,42.85714285714285,147.90623533093412,211.0049019607843,16.0,63.725490196078425,0.0,53.14009661835749,85.0,1
84444,84444,84445,2009,O,Doha,69.0,QAT,$,1110250.0,atp250,Hard,71.05263157894737,30.76923076923077,58.333333333333336,66.66666666666666,2.0,28.561,Two-Handed Backhand,50.0,100.0,GER,4.0,61.29032258064516,Right-Handed,Christopher Kas,50.0,-75.0,8.0,48.0,197.43589743589743,113.67628749292588,8.0,66.12903225806451,0.0,58.03571428571429,85.0,1
84445,84445,84446,2009,O,Doha,89.0,QAT,$,1110250.0,atp250,Hard,73.58490566037736,13.513513513513514,65.51724137931035,48.38709677419355,1.0,28.104,Unknown Backhand,50.0,100.0,SVK,1.0,64.63414634146342,Right-Handed,Ivo Klec,9.090909090909092,81.81818181818183,11.0,29.411764705882355,120.99151937861616,285.55447519933296,11.0,70.73170731707317,1.0,52.0,79.0,1
84446,84446,84447,2009,O,Doha,134.0,QAT,$,1110250.0,atp250,Hard,70.83333333333334,40.909090909090914,42.85714285714285,61.11111111111112,2.0,26.637,Two-Handed Backhand,66.66666666666666,75.0,POL,4.0,72.0,Right-Handed,Lukasz Kubot,46.15384615384615,0.0,13.0,50.0,214.84071484071484,183.6904761904762,14.0,63.0,0.0,57.22222222222222,88.0,1
84447,84447,84448,2009,O,Doha,54.0,QAT,$,1110250.0,atp250,Hard,80.0,50.0,100.0,57.692307692307686,1.0,26.102,Unknown Backhand,25.0,,ESP,0.0,75.75757575757575,Right-Handed,Miguel Angel Lopez Jaen,71.42857142857143,100.0,7.0,52.85714285714286,204.12087912087912,356.7575757575757,7.0,84.84848484848484,0.0,63.10679611650486,84.0,1
84448,84448,84449,2009,O,Doha,80.0,QAT,$,1110250.0,atp250,Hard,88.88888888888889,24.24242424242424,76.19047619047619,54.83870967741935,4.0,29.233,Two-Handed Backhand,66.66666666666666,,SVK,1.0,56.25,Right-Handed,Michal Mertinak,20.0,100.0,10.0,39.0625,165.74780058651027,324.32936507936506,10.0,83.33333333333334,0.0,58.03571428571429,92.0,1
84449,84449,84450,2009,O,Doha,,QAT,$,1110250.0,atp250,Hard,,,,,,24.037,Unknown Backhand,,,MAR,,,Right-Handed,Lamine Ouahab,,,,,,,,,,,83.0,1
84450,84450,84451,2009,O,Doha,52.0,QAT,$,1110250.0,atp250,Hard,87.5,50.0,30.76923076923077,63.1578947368421,6.0,28.524,One-Handed Backhand,41.66666666666667,50.0,AUT,2.0,71.11111111111111,Right-Handed,Alexander Peya,62.5,62.5,8.0,54.23728813559322,217.3245614035088,255.88034188034192,8.0,71.11111111111111,0.0,61.53846153846154,83.0,1
84451,84451,84452,2009,O,Doha,38.0,QAT,$,1110250.0,atp250,Hard,78.26086956521739,66.66666666666666,66.66666666666666,77.77777777777779,1.0,28.411,Unknown Backhand,66.66666666666666,,ITA,2.0,71.875,Right-Handed,Giancarlo Petrazzuolo,100.0,100.0,6.0,71.7948717948718,311.1111111111111,315.802536231884,6.0,75.0,0.0,73.23943661971832,,1
84452,84452,84453,2009,O,Doha,62.0,QAT,$,1110250.0,atp250,Hard,89.28571428571429,42.5,57.14285714285714,64.70588235294117,4.0,27.905,Two-Handed Backhand,50.0,100.0,CZE,3.0,66.66666666666666,Right-Handed,Jaroslav Pospisil,50.0,75.0,8.0,49.122807017543856,207.2058823529412,289.0952380952381,8.0,78.57142857142857,0.0,61.61616161616161,72.0,1
84453,84453,84454,2009,O,Doha,64.0,QAT,$,1110250.0,atp250,Hard,68.08510638297872,35.483870967741936,58.333333333333336,72.22222222222221,2.0,24.887,Unknown Backhand,100.0,80.0,POL,3.0,79.66101694915254,Right-Handed,Michal Przysiezny,44.44444444444444,0.0,9.0,48.97959183673469,252.15053763440852,205.07945666546465,9.0,66.10169491525424,0.0,58.333333333333336,84.0,1
84454,84454,84455,2009,O,Doha,45.0,QAT,$,1110250.0,atp250,Hard,81.81818181818183,53.84615384615385,77.77777777777779,83.33333333333334,1.0,25.599,Unknown Backhand,60.0,,ITA,1.0,70.96774193548387,Right-Handed,Simone Vagnozzi,85.71428571428571,100.0,7.0,65.9090909090909,282.8937728937729,330.5637015314435,6.0,80.64516129032258,0.0,72.0,60.0,1
84455,84455,84456,2009,O,Doha,32.0,QAT,$,1110250.0,atp250,Hard,90.9090909090909,80.0,53.333333333333336,68.42105263157895,6.0,32.586,One-Handed Backhand,71.42857142857143,,SRB,5.0,59.45945945945946,Right-Handed,Nenad Zimonjic,83.33333333333334,100.0,6.0,72.41379310344827,303.1829573934838,304.7018837018837,7.0,75.67567567567568,0.0,74.24242424242425,91.0,1
84456,84456,84457,2009,O,Doha,125.0,QAT,$,1110250.0,atp250,Hard,77.41935483870968,25.0,40.54054054054054,55.88235294117647,6.0,26.755,Two-Handed Backhand,33.33333333333333,25.0,SVK,11.0,62.62626262626263,Right-Handed,Karol Beck,21.428571428571427,66.66666666666666,14.0,37.2093023255814,135.64425770308122,242.2528246721795,15.0,63.63636363636363,0.0,51.35135135135135,74.0,1
84457,84457,84458,2009,O,Doha,65.0,QAT,$,1110250.0,atp250,Hard,73.07692307692307,36.36363636363637,75.0,64.28571428571429,4.0,27.319,Two-Handed Backhand,44.44444444444444,100.0,SUI,1.0,56.52173913043478,Right-Handed,Marco Chiudinelli,50.0,50.0,8.0,52.0,195.0937950937951,257.59866220735785,8.0,73.91304347826086,0.0,62.5,85.0,1
84458,84458,84459,2009,O,Doha,143.0,QAT,$,1110250.0,atp250,Hard,55.88235294117647,47.2972972972973,51.35135135135135,35.0,5.0,26.637,Two-Handed Backhand,35.714285714285715,37.5,POL,5.0,64.76190476190476,Right-Handed,Lukasz Kubot,35.714285714285715,21.428571428571427,14.0,44.680851063829785,153.72586872586874,193.424180483004,14.0,54.285714285714285,1.0,49.74874371859296,88.0,1
